time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1998-04-10T15:00:53.140Z,32.457,59.976,33,5.8,mwc,,,,1.49,us,usp0008ju7,2022-04-29T17:23:38.016Z,"84 km ESE of B?rjand, Iran",earthquake,,,,,reviewed,us,hrv
1998-04-04T02:46:33.490Z,36.645,49.427,33,4.5,mb,,,,0.93,us,usp0008jht,2014-11-07T01:04:56.536Z,"Northern Iran",earthquake,,,,3,reviewed,us,us
1998-03-27T04:29:49.670Z,30.029,57.59,33,4.9,mb,,,,0.9,us,usp0008j3u,2014-11-07T01:04:50.547Z,"56 km ESE of Kerman, Iran",earthquake,,,,33,reviewed,us,us
1998-03-27T01:21:24.830Z,33.241,56.87,33,4.5,mb,,,,1.12,us,usp0008j3f,2014-11-07T01:04:50.522Z,"39 km S of Tabas, Iran",earthquake,,,,11,reviewed,us,us
1998-03-19T08:33:29.230Z,29.91,56.045,33,4.7,mb,,,,1.3,us,usp0008hpd,2014-11-07T01:04:46.745Z,"51 km W of Bards?r, Iran",earthquake,,,,31,reviewed,us,us
1998-03-14T19:40:27.050Z,30.154,57.605,9,6.6,mwc,,,,1.2,us,usp0008hg7,2022-04-29T17:21:21.057Z,"52 km ESE of Kerman, Iran",earthquake,,,,,reviewed,us,hrv
1998-03-05T11:12:01.820Z,25.512,59.349,27,4.5,mb,,,,1.12,us,usp0008gzg,2014-11-07T01:04:42.003Z,"117 km SW of N?kshahr, Iran",earthquake,,,,5,reviewed,us,us
1998-02-28T00:39:12.530Z,37.049,48.719,52.3,4.6,mb,,,,1.18,us,usp0008gq5,2014-11-07T01:04:35.888Z,"45 km NNE of Zanj?n, Iran",earthquake,,11.7,,30,reviewed,us,us
1998-02-27T18:02:42.780Z,39.688,49.134,50.5,4.6,mb,,,,0.95,us,usp0008gpt,2014-11-07T01:04:35.837Z,"Near the coast of Azerbaijan",earthquake,,,,29,reviewed,us,us
1998-02-19T17:19:15.570Z,32.559,48.205,33,4.5,mb,,,,1.3,us,usp0008g8r,2014-11-07T01:04:34.205Z,"33 km NW of Shahrak-e K?l?r?, Iran",earthquake,,,,13,reviewed,us,us
1998-01-23T12:32:52.910Z,39.393,44.011,33,4.9,mb,,,,1.24,us,usp0008ev3,2014-11-07T01:04:22.437Z,"18 km SSW of Do?ubayaz?t, Turkey",earthquake,,,,7,reviewed,us,us
